0	3234	
1	2280	
2	2946	
3	4276	
4	2501	
5	4275	
6	2481	
7	3601	
8	2453	
9	3314	
10	5570	
11	3613	
12	2691	
13	3484	
14	5358	
15	4263	
16	3355	
17	4679	
18	4809	
19	5813	
20	3822	
21	5963	
22	1595	
23	3241	
24	1535	
25	1617	
26	1610	
27	1857	
28	3761	
29	2148	
30	2415	
31	3306	
32	1823	
33	5010	
34	2021	
35	1583	
36	3895	
37	2006	
38	2481	
39	3117	
40	3401	
41	5032	
42	5801	
43	4410	
44	6301	
45	4180	
46	3973	
47	4440	
48	5771	
49	1742	
50	2944	
51	3227	
52	5159	
53	4144	
54	4837	
55	4570	
56	2996	
57	8021	
58	4797	
59	3464	
60	5424	
61	4100	
62	4991	
63	6347	
64	8113	
65	4583	
66	2937	
67	4153	
68	3545	
69	4334	
70	5111	
71	6565	
72	4873	
73	6202	
74	4737	
75	2143	
76	22261	
