0	021
1	020B
2	029C
3	031
4	002
5	025
6	024
7	026
8	032
9	040
10	014
11	030
12	016
13	015
14	012
15	035
16	011
17	020A
18	017A
19	029A
20	038B
21	043
22	038A
23	019
24	007
25	037A
26	023
27	042
28	005
29	004
30	001
31	034
32	006
33	008
34	013
35	039
36	010
37	003
38	037B
39	029B
40	022
41	033
42	028D
43	028B
44	028C
45	028A
46	027
47	036
48	009
49	017B
50	018
51	041
52	007
